"Class Name - Live Objects","Live Bytes [%]","Live Bytes","Live Objects"
"char[]","39,09%","141274472","1089097"
"byte[]","11,40%","41210360","33496"
"java.lang.String","5,88%","21265560","886065"
"java.util.HashMap$Node","4,06%","14663808","458244"
"java.util.jar.JarFile$JarFileEntry","4,00%","14469408","150723"
"int[]","2,43%","8779464","43943"
"java.util.HashMap$Node[]","2,41%","8712120","72700"
"java.util.LinkedHashMap$Entry","1,53%","5535200","138380"
"java.lang.reflect.Method","1,50%","5436904","61783"
"java.lang.Object[]","1,29%","4673632","88413"
"java.util.HashMap","1,19%","4301568","89616"
"org.objectweb.asm.Item","1,06%","3825696","68316"
"org.objectweb.asm.Label","1,00%","3606592","56353"
"java.lang.Integer","0,93%","3376048","211003"
"java.util.concurrent.ConcurrentHashMap$Node","0,86%","3107872","97121"
"org.objectweb.asm.Edge","0,85%","3061704","127571"
"java.util.LinkedHashMap","0,84%","3036936","54231"
"java.lang.String[]","0,83%","2996808","122214"
"java.lang.Class","0,79%","2842760","25417"
"java.util.TreeMap$Entry","0,75%","2713040","67826"
"java.net.URL","0,71%","2567360","40115"
"java.lang.ref.WeakReference","0,61%","2211744","69117"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$LRU","0,56%","2007808","22816"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$HashEntry[]","0,55%","1989376","24864"
"org.apache.catalina.webresources.EmptyResource","0,48%","1725528","71897"
"java.lang.StringBuilder","0,43%","1561896","65079"
"org.objectweb.asm.MethodWriter","0,40%","1456128","7584"
"java.util.ArrayList","0,39%","1401072","58378"
"org.apache.catalina.loader.ResourceEntry","0,36%","1312944","27353"
"java.util.Hashtable$Entry","0,35%","1281984","40062"
"org.infinispan.util.concurrent.BoundedConcurrentHashMap$Segment","0,33%","1193472","24864"
"java.lang.ref.SoftReference","0,32%","1169240","29231"
"org.springframework.core.annotation.AnnotationAttributes","0,31%","1137752","20317"
"java.util.Hashtable$Entry[]","0,31%","1123440","13968"
"java.util.concurrent.ConcurrentHashMap$Node[]","0,29%","1057328","3259"
"java.beans.MethodDescriptor","0,26%","948472","16937"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","0,24%","883424","27607"
"java.util.Vector","0,24%","863936","26998"
"java.beans.MethodRef","0,23%","831528","34647"
"antlr.ANTLRHashString","0,22%","780960","24405"
"java.util.HashSet","0,20%","739952","46247"
"java.lang.reflect.Field","0,20%","713520","9910"
"org.objectweb.asm.Handler","0,20%","710360","17759"
"java.lang.Class[]","0,19%","694288","33206"
"org.olat.restapi.system.vo.MemoryUsageVO","0,18%","649152","13524"
"org.olat.core.commons.services.text.impl.nutch.NGramProfile$NGramEntry","0,18%","640000","20000"
"java.util.Hashtable","0,17%","631248","13151"
"java.util.concurrent.ConcurrentLinkedQueue$Node","0,17%","626208","26092"
"java.util.concurrent.ConcurrentLinkedQueue","0,17%","600312","25013"
"org.hibernate.hql.internal.ast.tree.Node","0,16%","565440","11780"
"org.objectweb.asm.Item[]","0,16%","561296","129"
"java.lang.reflect.Constructor","0,15%","546880","6836"
"java.security.ProtectionDomain","0,15%","546680","13667"
"java.security.CodeSource","0,12%","437120","13660"
"java.lang.String[][]","0,12%","436920","9775"
"boolean[]","0,12%","420480","12482"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","0,11%","410016","4271"
"java.util.concurrent.atomic.AtomicInteger","0,11%","406752","25422"
"java.lang.Object","0,11%","400256","25016"
"java.util.LinkedList","0,10%","362432","11326"
"java.beans.PropertyDescriptor","0,09%","321192","4461"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","0,08%","302144","9442"
"org.springframework.beans.factory.support.RootBeanDefinition","0,08%","282096","1959"
"java.util.concurrent.ConcurrentHashMap","0,08%","279360","4365"
"org.olat.core.commons.services.text.impl.nutch.NGramProfile$NGramEntry[]","0,08%","276232","10104"
"java.util.jar.Attributes$Name","0,07%","256560","10690"
